"annees"	"cumul_pluie_annuelle"	"tmax_moy_an"	"tmin_moy_an"
1971	953.4	32.3791780821918	22.3501369863014
1972	1184.7	32.631693989071	22.8327868852459
1973	866.6	33.4660273972603	23.253698630137
1974	1054.2	32.3632876712329	22.5520547945205
1975	1103.4	32.1714285714286	21.7701369863014
1976	823.9	32.2150273224044	21.7606557377049
1977	464.3	33.1969863013699	22.3668493150685
1978	1172.7	32.6279452054794	22.4334246575342
1979	1297	32.7805479452055	23.1950684931507
1980	1276.8	32.3789617486339	23.0551912568306
1981	992.5	32.7331506849315	23.1742465753425
1982	766	32.4832876712329	22.8969863013699
1983	679.4	33.2515068493151	23.1391780821918
1984	1007.8	32.9513661202186	23.1215846994536
1985	897.2	32.5361643835616	22.8515068493151
1986	1053.2	32.273698630137	22.6
1987	1192.4	33.2320547945206	23.4504109589041
1988	1397	32.3300546448087	23.0639344262295
1989	1225.4	32.3156164383562	22.6367123287671
1990	1059.2	32.8586301369863	22.9556164383562
1991	1058.2	32.5328767123288	22.8641095890411
1992	719.7	33.0172131147541	22.8396174863388
1993	990.1	33.0671232876712	22.7846575342466
1994	997.6	32.7484931506849	22.7690410958904
1995	1342.9	32.8632876712329	23.1706849315068
1996	1108.3	32.9346994535519	23.2049180327869
1997	1280.1	32.8345205479452	23.2087671232877
1998	1147.9	33.7575342465753	23.7947945205479
1999	1540.2	32.9695890410959	23.247397260274
2000	1072.8	32.9122950819672	23.4887978142077
2001	862	32.706301369863	23.666301369863
2002	1357.7	32.6506849315069	23.5682191780822
2003	1106.3	33.0712328767123	23.7221917808219
2004	1241.8	32.6532786885246	23.5464480874317
2005	1106.2	32.7487671232877	23.5556164383562
2006	1201.1	32.9898630136986	23.6772602739726
2007	1230	32.9597260273973	23.4854794520548
2008	1187.9	33.1270491803279	23.4095628415301
2009	1110.14	33.1569284802043	23.6254377586756
2010	1395.47	33.1405699647775	24.1764242996538
2011	1254.58	32.8793209876543	23.5200617283951
2012	1160.2	32.7078703703704	23.5061557402278
2013	1088.08	33.1150568181818	23.7100694444444
2014	1283.06	32.9881073734285	23.7540650406504
